FACILITY,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY,COUNTY,STATE,ZIP CODE,PARENT COMPANIES,SUBPARTS,"TOTAL REPORTED EMISSIONS, 2011","TOTAL REPORTED EMISSIONS, 2012","TOTAL REPORTED EMISSIONS, 2013","TOTAL REPORTED EMISSIONS, 2014","TOTAL REPORTED EMISSIONS, 2015","TOTAL REPORTED EMISSIONS, 2016","TOTAL REPORTED EMISSIONS, 2017","TOTAL REPORTED EMISSIONS, 2018","TOTAL REPORTED EMISSIONS, 2019","TOTAL REPORTED EMISSIONS, 2020","TOTAL REPORTED EMISSIONS, 2021",CHANGE IN EMISSIONS (2020 TO 2021),CHANGE IN EMISSIONS (2011 TO 2021),SECTORS
KENT STATE UNIVERSITY HEATING PLANT (1667040085),1006759,1501 Ted Boyd Drive,41.14128,-81.34284,KENT,PORTAGE COUNTY,OH,44242,KENT STATE UNIVERSITY (100%),C,"56,366","56,190","49,047","47,090","45,750","49,725","49,211","51,570","39,240","32,117","38,659","6,542","-17,707",Other
LOUISIANA STATE UNIVERSITY - LSU,1006955,,30.408626,-91.180829,BATON ROUGE,EAST BATON ROUGE PARISH,LA,70803,STATE OF LOUISIANA (100%),C,"89,915","108,433","114,783","111,918","108,352","110,051","95,732","109,722","109,222","121,266","127,694","6,428","37,780",Other
Loma Linda University,1001886,11100 Anderson Street,34.048439,-117.249975,Loma Linda,SAN BERNARDINO COUNTY,CA,92354,LOMA LINDA UNIVERSITY (100%),C,"59,017","60,004","62,290","61,258","60,044","59,204","52,087","57,177","53,499","55,110","61,736","6,626","2,720",Other
MIAMI UNIVERSITY (1409090081),1005305,101 South Fisher Drive,39.471718,-84.752448,OXFORD,BUTLER COUNTY,OH,45056,MIAMI UNIVERSITY (100%),C,"60,733","43,512","53,415","53,279","41,382","29,299","25,623","28,017",---,---,---,---,---,Other
MICHIGAN STATE UNIVERSITY,1001250,354 Service Rd.,42.7178,-84.4836,EAST LANSING,INGHAM COUNTY,MI,48824,MICHIGAN STATE UNIVERSITY (100%),C,"541,863","474,995","480,548","428,783","436,466","437,071","339,221","365,556","374,534","337,811","345,753","7,942","-196,110",Other
MIDDLE TENNESSEE STATE UNIVERSITY,1004834,1301 EAST MAIN STREET,35.84342,-86.37075,MURFREESBORO,RUTHERFORD COUNTY,TN,37132,TENNESSEE BOARD OF REGENTS (100%),C,"31,406","34,765","47,924","51,750","48,492","49,260","36,835","42,534","39,845","42,931","39,716","-3,215","8,310",Other
MIT Central Utility Plant,1001289,59 VASSAR ST,42.3611,-71.0934,CAMBRIDGE,Middlesex,MA,02139,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (100%),C,"141,908","137,864","140,448","145,000","141,797","128,376","106,789","131,470","123,487","111,369","131,848","20,479","-10,060",Other
Montclair State University,1002987,1 Normal Avenue,40.8572,-74.1983,Montclair,ESSEX COUNTY,NJ,07043,MONTCLAIR STATE UNIVERSITY (100%),C,"34,102","34,082","34,058","36,853","39,723","35,836","36,341","44,041","37,878","36,902","37,449",547,"3,347",Other
NCSU CENTRAL HEAT PLANT,1005699,2815 CATES AVENUE,35.78505,-78.667516,RALEIGH,WAKE COUNTY,NC,27695,THE UNIVERSITY OF NORTH CAROLINA (100%),C,"62,454","74,446","94,516","101,258","96,592","93,595","89,428","95,417","106,751","99,958","111,729","11,771","49,275",Other
NEW MEXICO STATE UNIVERSITY CAMPUS,1005544,1620 Standley Drive ARC-C-Room 109,32.273071,-106.749013,LAS CRUCES,DONA ANA COUNTY,NM,88003,NEW MEXICO STATE UNIVERSITY (100%),C,"33,840","32,303","31,197","32,089","32,266","35,053","31,169","30,402","32,447","31,903","33,437","1,534",-403,Other
