FACILITY,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY,COUNTY,STATE,ZIP CODE,PARENT COMPANIES,SUBPARTS,"TOTAL REPORTED EMISSIONS, 2011","TOTAL REPORTED EMISSIONS, 2012","TOTAL REPORTED EMISSIONS, 2013","TOTAL REPORTED EMISSIONS, 2014","TOTAL REPORTED EMISSIONS, 2015","TOTAL REPORTED EMISSIONS, 2016","TOTAL REPORTED EMISSIONS, 2017","TOTAL REPORTED EMISSIONS, 2018","TOTAL REPORTED EMISSIONS, 2019","TOTAL REPORTED EMISSIONS, 2020","TOTAL REPORTED EMISSIONS, 2021",CHANGE IN EMISSIONS (2020 TO 2021),CHANGE IN EMISSIONS (2011 TO 2021),SECTORS
UNIVERSITY OF OKLAHOMA,1006764,660 PARRINGTON OVAL,35.21036,-97.44596,NORMAN,CLEVELAND COUNTY,OK,73019,UNIVERSITY OF OKLAHOMA (100%),C,"53,481","94,097","70,179","60,639","44,663","49,216","51,621","56,427","49,503","54,007","49,689","-4,318","-3,792",Other
UNIVERSITY OF TENNESSEE STEAM PLANT,1000201,1617 LAKE LOUDON BOULEVARD,35.954053,-83.930007,KNOXVILLE,KNOX COUNTY,TN,37996,UNIVERSITY OF TENNESSEE (100%),C,"74,308","69,407","81,094","93,627","70,355","66,741","69,380","76,762","71,848","73,617","78,438","4,821","4,131",Other
UNIVERSITY OF UTAH,1006504,"125 S. Ft. Douglas Blvd, Bldg 605",40.751746,-111.833756,SALT LAKE CITY,SALT LAKE COUNTY,UT,84113,STATE OF UTAH (100%),C,"102,473","92,790","105,764","100,805","100,805","82,889","84,848","80,243","81,777","75,542","73,682","-1,860","-28,791",Other
UNIVERSITY OF VIRGINIA,1001929,575 ALDERMAN ROAD,38.03578,-78.514096,CHARLOTTESVILLE,CHARLOTTESVILLE CITY,VA,22903,RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA (100%),C,"109,132","90,853","97,491","111,686","88,961","85,549","81,985","84,428","83,313","71,435","71,145",-290,"-37,987",Other
US MILITARY ACADEMY AT WEST POINT,1005512,667A Ruger Road,41.401197,-73.96508,WEST POINT,ORANGE COUNTY,NY,10996,,C,"41,551","40,898","41,038","43,417","34,536","34,989","34,584","30,991","32,110",---,"28,507",---,"-13,044",Other
University of Alaska Fairbanks,1005509,802 Alumni Drive,64.853615,-147.820282,Fairbanks,FAIRBANKS NORTH STAR BOROUGH,AK,99775,STATE OF ALASKA (100%),C,"134,639","124,488","129,671","123,310","123,165","124,753","128,296","127,848","120,823","222,288","99,077","-123,210","-35,562",Other
University of Arizona,1006446,,32.2317,-110.9519,TUCSON,PIMA COUNTY,AZ,85721,ARIZONA BOARD OF REGENTS (100%),C,"80,582","82,889","86,334","77,252","81,033","83,472","81,039","82,616","84,937","81,236","81,079",-158,497,Other
University of Arkansas,1004124,845 West Dickson Street,36.06665,-94.17232,Fayetteville,WASHINGTON COUNTY,AR,72701,UNIVERSITY OF ARKANSAS SYSTEM (100%),C,---,---,"26,117",---,---,"35,919","34,032","35,595","37,399","37,169","43,448","6,279",---,Other
University of California Santa Cruz,1012289,1156 High street,36.97711,-122.05245,SANTA CRUZ,SANTA CRUZ COUNTY,CA,95064,STATE OF CALIFORNIA (100%),C,---,---,---,---,---,"27,556",---,---,"29,191","25,779","28,852","3,074",---,Other
"University of California, Los Angeles",1005501,405 Hilgard Ave.,34.074052,-118.437913,LOS ANGELES,LOS ANGELES COUNTY,CA,90095,UC REGENTS (100%),C,"205,256","217,680","205,087","220,774","219,616","221,994","224,529","224,013","225,529","211,121","211,595",475,"6,339",Other
"University of California, San Francisco - Parnassus Campus",1000557,25 Medical Center Way,37.762505,-122.456385,San Francisco,SAN FRANCISCO COUNTY,CA,94143,STATE OF CALIFORNIA (100%),C,"68,792","65,200","58,124","55,579","54,870","56,322","55,128","55,056","54,590","52,807","53,984","1,177","-14,809",Other
University of Kansas,1005561,2330 Crowell Drive,38.957044,-95.253123,Lawrence,DOUGLAS COUNTY,KS,66047,STATE OF KANSAS (100%),C,"31,105","26,772","31,727","31,313","27,725","26,336","25,716","31,815","34,256","31,012","31,097",85,-8,Other
University of Maine,1002017,5765 Service Building,44.89893,-68.673477,Orono,PENOBSCOT COUNTY,ME,04469,UNIVERSITY OF MAINE SYSTEM (100%),C,"29,357","31,671","32,888","31,827","30,919","30,688","30,209","31,394","34,081","30,157","30,595",438,"1,238",Other
University of Maryland,1002270,"Seneca Building, Suite #0103, 4716 Pontiac Street",38.981028,-76.944136,College Park,PRINCE GEORGE'S COUNTY,MD,20742,University of Maryland (100%),C,"123,292","124,163","130,693","131,344","116,701","130,825","101,681","103,964","99,201","104,577","119,179","14,602","-4,113",Other
University of Michigan,1000408,1239 Kipke Drive,42.2808,-83.7342,ANN ARBOR,Washtenaw,MI,48109,THE REGENTS OF THE UNIVERSITY OF MICHIGAN (100%),C,"280,692","273,711","288,526","300,313","282,585","267,110","262,462","273,224","255,316","245,596","251,535","5,939","-29,157",Other
University of Nebraska Lincoln (City Campus),1004580,905 N 14th,40.822719,-96.70128,Lincoln,LANCASTER COUNTY,NE,68588,BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA (100%),C,"29,174","25,798","29,615","29,526","25,991",---,"26,909","28,347","27,997","25,998",---,---,---,Other
University of New Hampshire,1012083,22 Colovos Road,43.136199,-70.937909,Durham,STRAFFORD COUNTY,NH,03824,UNIVERSITY SYSTEM OF NEW HAMPSHIRE (100%),C,---,---,---,"25,969","26,044","27,338",---,---,---,---,---,---,---,Other
University of Pittsburgh - of the Commonwealth System of Higher Education,1003771,3412 Forbes Avenue,40.43875,-79.96085,Pittsburgh,ALLEGHENY COUNTY,PA,15260,UNIVERSITY OF PITTSBURGH (100%),C,---,---,"60,819","79,072","83,466","67,411","65,537","62,925","70,488","74,398","69,668","-4,730",---,Other
University of Pittsburgh/Carrillo Street Steam Plant,1002368,2740 Carrillo Street,40.443988,-79.966762,Pittsburgh,ALLEGHENY,PA,15260,UNIVERSITY OF PITTSBURGH (100%);,,"46,498","50,053",---,---,---,---,---,---,---,---,---,---,---,Other
University of Rochester,1002163,390 Elmwood Avenue,43.123065,-77.629544,Rochester,MONROE COUNTY,NY,14627,UNIVERSITY OF ROCHESTER (100%),C,"108,949","126,514","138,989","126,966","136,553","136,548","134,712","130,787","128,120","124,195","113,286","-10,909","4,337",Other
University of Texas Medical Branch at Galveston,1009993,301 University Blvd,29.31142,-94.77479,Galveston,GALVESTON COUNTY,TX,77555,UNIVERSITY OF TEXAS SYSTEM (100%),C,---,"31,807","30,506","30,846","32,024","33,376","43,406","54,033","64,549","56,693","62,496","5,803",---,Other
University of Vermont and State Agricultural College,1002803,284 East Avenue,44.47432,-73.19061,Burlington,CHITTENDEN COUNTY,VT,05405,UNIVERSITY OF VERMONT & STATE AGRICULTURAL COLLEGE (100%),C,"27,105",---,"28,592","29,387","28,826","27,395","27,053","28,390","29,238",---,"28,579",---,"1,474",Other
University of Washington Seattle Campus,1002682,,47.6562,-122.3041,Seattle,KING COUNTY,WA,98195,THE UNIVERSITY OF WASHINGTON BOARD OF REGENTS (100%),C,"86,846","83,585","90,339","82,134","82,430","87,171","94,113","92,022","92,272","86,980","89,624","2,645","2,778",Other
Utah State University,1005599,1445 OLD MAIN HILL,41.657733,-111.843444,LOGAN,CACHE COUNTY,UT,84322,UTAH STATE UNIVERSITY (100%),C,---,---,---,"40,802","40,439","45,498","39,280","40,591","41,964",---,---,---,---,Other
VANDERBILT UNIVERSITY,1004102,"2043 Scarritt Place, Room 150 Wesley Place Garage",36.14264,-86.800107,NASHVILLE,DAVIDSON COUNTY,TN,37203,THE VANDERBILT UNIVERSITY (100%),C,"151,103","147,560","155,064","139,060","116,401","131,348","125,235","137,802","128,952","133,651","125,819","-7,832","-25,285",Other
VCU EAST PLANT,1004990,1040 OLIVER HILL WAY,37.54267,-77.42428,RICHMOND,RICHMOND CITY,VA,23298,VIRGINIA COMMONWEALTH UNIVERSITY (100%),C,"32,503","31,678","33,564","34,894","33,461","33,738","33,743","32,664","30,597","30,678","33,767","3,089","1,264",Other
Virginia Tech,1005660,112 MAINTENANCE COMPLEX,37.23215,-80.42173,BLACKSBURG,MONTGOMERY COUNTY,VA,24061,COMMONWEALTH OF VIRGINIA (100%),C,"121,657","87,517","106,105","113,367","108,148","99,307","103,211","82,977","81,919","64,757","54,223","-10,534","-67,434",Other
WASHINGTON STATE UNIVERSITY,1005091,2660 GRIMES WAY,46.728721,-117.154274,PULLMAN,WHITMAN COUNTY,WA,99164,STATE OF WASHINGTON (100%),C,"57,294","56,680","60,798","59,384","57,309","58,136","65,446","61,882","66,455","59,429","62,454","3,024","5,159",Other
WAYNE STATE UNIVERSITY,1005556,5454 Cass Avenue,42.36012,-83.069,DETROIT,WAYNE COUNTY,MI,48202,WAYNE STATE UNIVERSITY (100%),C,"46,746","39,036","36,824","38,681","36,937","37,109","35,344","39,561","35,909","31,957","36,024","4,066","-10,723",Other
WELLESLEY COLLEGE,1006651,106 CENTRAL ST,42.29593,-71.29893,WELLESLEY,NORFOLK COUNTY,MA,02481,WELLESLEY COLLEGE (100%),C,"37,672","31,919","32,619","26,707","26,224","26,525","25,811",---,---,---,---,---,---,Other
WESTERN ILLINOIS UNIVERSITY,1004271,1 UNIVERSITY CIR,40.465618,-90.682579,MACOMB,MCDONOUGH COUNTY,IL,61455,STATE OF ILLINOIS (100%),C,"36,217","34,296","40,586","26,234","25,216",---,---,"26,956","26,214",---,---,---,---,Other
WESTERN MICHIGAN UNIVERSITY,1003293,1903 WEST MICHIGAN AVENUE,42.28411,-85.61277,KALAMAZOO,KALAMAZOO COUNTY,MI,49008,WESTERN MICHIGAN UNIVERSITY (100%),C,"69,221","65,863","69,663","71,063","68,087","65,397","47,475","71,433","68,787","62,085","62,610",525,"-6,611",Other
Washington University Medical School,1006683,660 South Euclid,38.636917,-90.259793,Saint Louis,ST. LOUIS CITY,MO,63110,THE WASHINGTON UNIVERSITY (100%),C,"36,052","32,177","35,866","36,220","35,398","37,966","36,191","33,760","33,759","30,150","33,594","3,443","-2,459",Other
YALE UNIVERSITY - SCHOOL OF MEDICINE,1004800,309 CONGRESS AVE,41.30291,-72.932742,NEW HAVEN,NEW HAVEN COUNTY,CT,06520,THE YALE CORP (100%),C,"99,611","96,899","101,757","104,057","101,387","100,792","100,835","105,108","104,345","101,049","101,209",159,"1,598",Other
YALE UNIVERSITY CENTRAL POWER PLANT,1004835,120 TOWER PARKWAY,41.313361,-72.979289,NEW HAVEN,NEW HAVEN COUNTY,CT,06520,THE YALE CORP (100%),C,"115,347","109,449","111,055","105,630","79,872","82,118","95,110","104,692","103,664","93,909","92,363","-1,546","-22,985",Other
